id,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
100028,-0.080656,0.003600,-1.059704,0.613244,-0.721033,-0.551373,-0.577223,-0.990477,-0.107587,-1.016198,-0.139111,-0.428388,1.657348,-1.751300,-0.261859,0.655871,-0.535235,-0.970805,-0.869054,-0.165843,-1.698783,-0.633754,-0.087985,1.262906,0.756518
100029,-2.200886,-1.047790,-1.725615,0.462330,2.765711,-0.870611,-0.429538,0.325044,0.709132,-2.015181,1.552583,-0.136996,-1.014653,-1.205818,-0.298706,-1.481403,-0.389007,0.069381,0.490497,1.419475,-0.308549,-1.591412,0.169736,-0.330978,0.560441
100030,0.160702,1.449909,0.652221,-0.501492,0.517346,0.019476,-0.493664,0.453634,-0.422289,0.429348,-1.177749,0.546094,1.994155,-2.078761,-0.444554,-0.804420,-0.434598,0.839260,-0.655215,-0.027352,-0.237797,-0.614254,-0.478404,-1.392087,1.314970
100031,0.832813,0.529501,-0.847542,-0.683810,0.680623,0.482525,0.749197,0.884820,0.627594,1.054738,1.511704,2.952392,-2.557976,-0.542331,0.136379,1.763953,-1.848864,-0.579670,-0.424011,0.632059,0.250250,-1.149351,1.060024,1.848517,0.485316
100032,0.127667,-0.047632,1.020171,-0.138524,0.327633,0.037041,-0.067369,0.493741,-0.012531,0.833591,-0.055758,-0.063180,0.311120,0.626238,-0.411840,1.220032,2.210643,-0.163119,0.459457,0.033611,1.794433,0.238515,1.522128,0.291096,-0.023677
100033,0.469508,-0.590669,0.218760,-0.263988,0.091517,0.734372,-0.217741,0.328372,-0.248114,-1.019393,-0.268950,1.286295,-0.340262,0.901926,0.402756,0.295592,-0.308638,1.656685,-0.148388,-0.618477,-1.406453,-1.130526,0.670421,1.397495,0.218708
100034,-0.349578,1.200268,0.002477,-0.895486,1.593975,-0.769439,-0.192166,1.172247,-2.248612,0.308984,-1.053251,-1.020304,-1.381517,0.309488,1.733868,0.253758,1.581628,-0.528224,-0.501090,-2.127850,-1.911396,0.660682,0.961143,-0.520918,-0.251912
100035,0.051772,-0.439100,0.790275,-0.800793,-0.310910,0.033057,-0.542631,-0.442576,3.394033,1.279347,-0.495309,0.514201,-1.013668,0.636761,0.273232,-0.295381,-0.001922,-1.189719,-0.530905,1.101928,-0.285796,0.269899,-0.575669,-0.944708,-0.808918
100036,-0.881867,0.090370,0.596182,0.564997,0.953192,-0.505496,0.042211,0.868171,1.471201,-0.190887,0.333786,-0.469955,-0.353246,-0.691445,2.220586,-0.489396,0.210190,-0.268166,-0.355245,0.528699,0.045639,-0.380210,-0.115689,0.092756,-0.377195
100037,0.077073,0.493448,0.260324,-0.826509,0.166825,0.281379,-0.119380,-0.123450,0.271911,0.567307,-0.155187,-0.870877,-0.588479,-0.038016,-1.480797,1.083972,1.014524,0.042664,1.445547,-1.715901,-0.105461,-1.306218,-0.096146,-0.289685,0.190624
100038,-1.674776,0.312564,0.023374,0.354903,0.333437,-1.280887,0.064308,0.426563,0.565188,-0.405119,0.870224,0.804255,0.715112,-1.085662,-2.581193,0.005038,-0.771356,-0.471021,-1.279067,0.506807,-0.845923,0.593566,-0.362433,-0.956695,0.931468
100039,-0.771629,1.911114,0.128527,0.526593,-2.600684,-0.377812,0.284006,-0.492146,0.104326,0.097353,-0.431458,-1.718378,-2.167646,-0.543438,-0.831672,0.544946,-1.270371,2.043477,-1.785014,-1.707518,-0.259766,-0.828959,-0.669321,1.349674,-0.970012
100040,-0.318007,-1.702852,-0.077486,-1.305217,-0.017193,0.664385,0.152685,-0.314624,-2.590121,-0.251509,-1.243564,-1.922488,-0.342242,0.091093,-0.189250,-0.901509,0.403783,1.884287,-0.499712,0.366648,-2.171468,-2.097298,-1.618242,-1.646832,-0.257369
100041,0.090515,-1.369017,-0.101202,1.818858,1.581351,0.492057,-0.235000,0.845462,0.296885,0.578831,2.191430,-2.726824,1.312764,-0.756933,1.394392,-0.891958,-2.039084,-0.894447,-0.086309,0.919676,-1.545736,1.214453,-0.198556,2.179576,1.270791
100042,0.485031,-1.006030,0.347816,-0.827898,0.002880,-0.248459,-0.323932,-0.141021,-1.606885,0.352981,0.918688,0.264985,0.268710,1.698066,-0.166507,0.430462,-1.240546,-0.972896,-1.350156,0.804879,-1.889100,1.660812,0.040163,-0.853387,0.196480
100043,-0.477752,0.165036,0.338181,0.671104,1.130282,-0.030789,0.659211,0.776229,-0.310126,-0.164358,-1.259882,1.017147,-0.960818,-1.204725,0.772854,-1.100060,0.610411,-1.250894,-0.155026,0.326589,0.687118,-1.838195,-1.230713,-0.432961,-0.393573
100044,-0.566971,-0.262140,0.106988,-1.173262,1.381953,-0.317802,-0.277891,0.693536,2.192861,-1.262359,-0.148948,0.530705,0.769103,-0.481703,1.428979,-0.072167,0.328605,-0.616251,-0.915304,0.280471,-0.339311,-0.887246,-0.949083,-1.503495,-1.046993
100045,-1.223061,-0.563986,0.239850,-0.519202,-0.972131,-0.717061,-0.309566,-0.858550,0.432016,1.098517,1.695285,-0.647245,0.382504,1.310482,0.892429,0.515321,-0.216596,2.998690,-0.263235,1.583481,-0.394150,1.561532,-0.987855,-0.220072,-0.480655
100046,-0.594967,0.183471,0.368654,0.287242,0.926006,-0.634368,0.813311,0.780233,0.895468,0.421603,0.202132,-0.523243,0.391677,-1.320612,0.437992,-0.454577,0.994156,1.713957,0.781735,-0.429315,1.116779,-0.973391,1.102029,0.683485,0.011941
100047,-1.176216,-0.981501,1.041394,0.083134,1.180567,-0.746040,0.049058,1.091270,0.691830,0.216834,-0.373351,0.064274,-0.783629,2.485469,1.754529,0.557837,1.011456,-1.107175,-0.325090,-0.036638,0.935567,-0.374348,0.630002,-0.393673,-0.320336
100048,0.759622,0.823502,0.521810,0.182603,-0.609864,0.307555,0.304831,-0.685205,-0.190888,-1.015510,0.000910,-1.338396,1.493751,-1.322245,0.327017,-0.115034,-0.614333,0.547282,-0.712780,-0.272165,1.191088,1.088062,-0.892296,-0.922799,-0.603443
100049,0.983330,0.335281,1.357173,0.842582,-2.139398,0.246483,1.275367,-0.864077,-0.090616,-1.134847,1.514154,-0.931761,1.183167,1.228686,-2.917693,-1.238650,0.310224,-0.870756,0.053412,-1.323641,-0.440748,0.873554,3.072871,-0.212077,0.684721
100050,1.681970,0.104390,0.283567,0.528471,-1.671175,0.873669,-0.144770,-0.893401,0.310345,-1.098294,0.653392,1.133794,0.924461,-0.229283,1.301613,0.214179,2.121241,0.890527,-0.794256,-0.673903,0.361330,-3.289632,0.293794,0.595338,1.497637
100051,0.905531,-0.267992,0.385627,-0.114000,-1.201923,0.598746,-0.060853,-0.739450,-1.587615,1.074202,1.592330,-0.460327,1.604248,2.104825,-0.738920,-0.004122,0.516151,-0.030445,0.599318,-0.677897,-1.644031,-0.743030,-0.141078,-0.531317,0.463982
100052,-0.067237,0.890380,0.868514,-0.234487,0.446152,0.414082,-0.413688,0.400315,-0.025239,-0.424298,-0.850970,1.040257,0.993519,1.907736,0.093807,-0.738015,-0.746144,0.399455,0.873682,-1.435462,-0.657641,2.147940,0.090921,1.718731,-0.042558
100053,0.876793,-0.390179,-0.601053,0.312622,-1.707225,0.355389,0.185137,-0.503366,0.929964,0.182377,-0.469268,0.084763,0.326771,0.856496,-0.482608,-0.298597,-0.312573,0.908516,1.527577,0.106974,0.483419,-0.903417,-0.193787,-0.878299,0.851216
100054,-0.539654,0.991923,-0.009779,0.071507,0.387922,-0.975284,0.688303,0.350643,-1.245794,0.786409,0.248545,0.767488,1.388523,2.273232,1.323328,0.939288,1.436086,0.277178,1.330317,1.858889,1.086416,-2.054008,-0.379008,2.312882,0.753372
100055,-0.877137,-1.358130,-0.230133,-0.331999,0.509914,-0.134283,0.021264,0.114984,-1.143626,0.653186,-0.451871,-0.251455,-0.899066,0.444994,-0.864714,0.938199,1.303268,-0.650038,0.612848,-1.422322,0.311858,-0.953155,-1.133707,1.292001,0.164965
100056,1.627574,0.345700,1.028477,-0.801432,-0.396670,0.885848,-1.118817,-0.321962,2.053181,0.427092,1.769605,-0.133458,1.433886,0.466621,0.979908,0.631500,0.393823,0.730401,-0.121219,1.619863,0.438506,-0.703030,1.750938,0.820847,-1.454098
100057,1.894567,1.329829,-0.206079,0.247725,-0.038783,0.627480,-0.059037,0.026024,-1.019276,-0.849562,1.535542,-1.173328,-1.056575,-0.807920,0.929718,-0.595411,1.753074,-0.832313,-0.353341,0.152396,-0.631525,0.567984,-0.909742,-1.241716,-0.242409
100058,-0.609182,0.235473,-0.155669,-0.815598,-0.869168,-0.778753,0.400434,-0.362141,-1.461449,0.486878,1.217007,0.430524,-0.483084,1.499972,-1.655518,-0.168065,-1.447809,-0.632905,-2.860046,-1.527131,2.042899,-0.542267,-0.646353,-1.700037,1.163895
100059,-2.148111,-0.896691,-0.098068,-0.186297,1.568631,-1.577635,0.083712,1.253155,0.322349,-1.495036,-1.416097,0.685309,0.046527,-1.048042,1.162043,0.107340,0.627622,-0.409663,0.400796,-0.641104,-0.985018,0.442878,1.257346,-1.039507,0.369242
100060,0.131530,-0.754992,1.270364,-0.695307,0.310440,0.082784,-1.228019,0.330501,-2.928622,1.319575,0.748777,-1.396311,1.132580,0.106760,-0.039077,-0.639488,1.341016,-0.161646,1.551615,-0.825857,-0.050104,-1.052344,0.048393,-1.489083,-0.031454
100061,0.612581,-0.621802,1.032338,-0.083952,-3.057808,0.789986,-0.188985,-0.022031,1.021404,-0.251090,-1.156836,-1.379167,0.704324,1.091568,-0.147506,0.718521,0.363342,-0.604772,-0.015857,0.164105,0.061278,0.354994,0.474821,-0.791546,-1.999001
100062,1.625073,-1.998723,1.250079,-0.631166,1.415745,1.055231,-0.416215,0.777178,-0.252335,0.090683,-1.099892,-0.198204,-0.000939,-0.281199,-1.181168,0.520245,-0.258641,-0.772543,1.232814,-0.000207,1.141361,0.187749,0.562325,0.524747,-1.144190
100063,1.021949,-1.069996,-1.257718,0.186326,-1.495745,0.634115,-0.522782,-1.283232,-1.698567,0.390732,1.197136,2.998371,1.798575,-0.829562,-2.572109,-1.155505,0.117263,-0.196638,0.646880,-0.102909,-0.603858,-0.950306,1.005165,1.029286,1.586814
100064,0.635036,0.209223,-1.116587,-0.556506,0.968688,-0.246659,0.451172,0.727007,0.572838,-0.063554,-1.745351,0.873610,-1.823093,0.932195,-0.183922,-0.169802,0.372669,1.054242,-2.759048,1.731817,-0.435626,-0.320570,1.297404,0.724429,0.767917
100065,-0.938576,-0.165051,0.274833,-1.369145,0.237611,-0.286507,-0.340944,0.405787,-0.339615,0.912871,-0.222226,-0.857320,0.242353,-1.844474,1.368298,1.076168,0.939663,-1.217623,-1.425044,2.009394,-0.240039,-0.553191,0.037112,-0.924971,-0.876353
100066,-1.790130,0.840557,-0.500573,0.667801,0.221320,-0.497555,-0.218060,0.164739,-1.501374,0.966621,-1.133128,-0.966520,-0.479712,-0.001465,0.821472,-1.154577,-1.363464,0.492514,-2.472927,-0.035884,-0.118711,-0.659452,0.453325,1.468441,0.191549
100067,-0.358227,-0.985643,-1.019786,0.746918,-0.282464,-0.470156,-0.562181,-0.107104,0.402993,0.258378,-1.230351,-1.937404,0.743211,0.043565,-0.309488,-1.457805,-1.154486,0.655480,-0.653909,0.448001,1.023756,0.233561,-0.228123,0.613433,0.142774
100068,0.956240,-1.948283,0.233757,0.516366,-0.116021,1.112840,-0.165522,-0.012404,0.310123,-0.360488,-1.670886,0.418321,-0.825914,-0.228700,-0.212706,-1.352984,-1.029610,1.621122,0.001617,1.259140,-0.308306,0.433539,0.741697,-0.208825,0.136433
100069,0.235501,-1.068759,0.494911,0.079221,1.260432,0.082053,-0.479501,1.117002,0.284301,0.252754,0.562627,-1.709339,-1.205940,-1.093157,0.245153,0.557794,-1.391462,-0.633796,0.867322,-1.352665,0.542701,-0.455150,-0.872749,-0.518412,-2.542545
100070,-0.111661,0.627844,-0.955384,-0.525004,-0.049115,-0.454464,0.171637,-0.304695,-1.128185,0.685305,-0.054541,-0.335589,0.875988,-1.546769,1.700136,0.580089,-0.059345,2.009708,0.936208,-0.472647,0.371651,0.160580,0.325504,0.037765,-1.922347
100071,-0.817996,1.515483,0.368228,-1.197682,0.241479,-1.570955,0.024977,0.273300,-0.151741,1.165306,0.555646,-0.373392,-0.058645,0.361553,0.696258,1.816148,1.132271,0.451788,-0.533475,-0.859302,0.160694,0.204860,0.260447,-0.326418,0.421324
100072,0.374130,1.836491,-1.129685,-1.281723,-0.896715,-0.362023,0.989172,-0.933921,-1.360732,-0.949454,0.577641,0.630272,-1.030540,0.279529,-0.796155,-1.229049,0.283479,-0.143315,-0.759669,-0.048168,-1.249933,0.459042,-1.488980,0.171967,-0.733671
100073,0.689289,-0.694693,0.026547,-0.295749,-1.254692,0.329273,-0.073897,-0.914377,2.533461,-1.038590,1.780384,0.534671,-0.240410,0.355810,1.078865,-0.059634,-1.511004,0.073950,1.047292,-0.786247,0.590001,0.032796,1.212360,-0.198360,-1.183326
100074,-0.467427,-1.489523,-0.476553,-0.189059,0.100645,0.481146,0.304139,0.089822,-0.987914,0.204608,1.084118,0.082634,-2.090375,-0.356628,1.698258,-0.345736,0.811371,1.998392,-0.338319,0.305784,-0.962907,1.114837,0.786132,-0.001505,-1.257978
100075,1.405660,0.118058,0.014047,-0.458151,2.540937,1.518694,0.303009,0.511524,-0.968504,-0.072782,1.736417,-1.373097,1.440459,0.274623,0.689067,0.887811,-1.164589,1.112931,1.279706,-0.724158,1.749734,0.771230,0.107042,-1.353314,2.426302
100076,1.261189,-1.023576,-0.797153,-0.058382,2.428911,0.894456,0.342495,0.616429,-0.597243,0.836028,-0.150317,-1.098077,-0.514987,0.476028,-1.755279,0.600352,2.082199,-0.721295,-0.729239,-0.175052,0.101367,-2.459273,0.864096,0.228873,-0.753655
100077,-1.207815,-0.353589,0.567748,-0.586288,-1.379247,-1.318249,-0.667587,-0.424676,0.291418,1.386203,1.614971,0.842894,-0.520336,-0.565659,-0.071682,1.032036,0.420389,-0.856154,-0.031024,-1.002138,0.007122,0.331023,0.541550,-1.519510,-2.036388
100078,0.056117,-1.511054,-0.671691,-0.087403,-0.308233,0.204560,-0.450688,-0.451108,-0.895875,0.397511,-0.558716,1.814658,0.094396,-0.096838,-0.927005,-0.256855,-0.785829,-1.976750,0.346768,-1.492712,-0.672566,-0.164766,-0.323420,0.492909,0.180921
100079,0.445353,-0.551777,-0.208131,-0.944701,0.102876,1.104223,-0.143439,-0.081076,0.722357,-0.001310,0.842516,0.960138,-1.985083,0.787044,0.500292,0.911053,-1.251406,0.228801,0.099054,-0.876462,-0.066728,1.392515,-1.021780,0.101186,-1.452037
100080,2.310454,1.357100,-0.271422,-0.815709,1.506764,0.968707,0.977609,0.830951,0.760357,-2.137654,1.041119,0.284310,-0.979651,-0.292388,1.346998,0.284851,-1.822682,-0.001145,0.633634,0.106808,-0.558029,-0.518763,0.533075,-1.073999,-0.647531
100081,-0.064676,0.260297,-0.107336,0.750500,0.749458,0.236724,-0.265596,0.878581,0.332825,0.334428,-0.511186,-0.748585,0.050626,-1.069741,-1.205829,-0.732736,-1.097521,-0.787327,-1.107397,0.576329,-0.209727,-1.914778,0.503024,-0.697970,-1.390001
100082,-0.124839,-0.847098,-0.693416,1.503325,-0.513240,0.619975,-1.528879,-0.554903,1.627587,-0.970220,-0.435165,-0.657612,0.210712,0.413319,-0.432276,-1.728530,-0.041312,0.943237,-0.796610,0.555914,0.053579,-0.042062,1.108857,0.713582,-1.110094
100083,-0.362675,-1.890886,1.969868,-0.504354,0.642902,0.961331,-0.851721,0.662897,0.097599,0.406320,1.595703,0.012668,-1.404926,-0.662600,-0.342407,-1.301431,0.676900,0.877506,-0.702988,-0.945389,-1.668018,0.942235,-0.628681,0.509738,-1.454708
100084,0.846205,-1.212241,-1.698223,-1.754610,-1.617401,0.601370,2.980454,-1.164766,0.534478,-0.768562,-0.959803,-0.369293,0.039153,0.586373,-0.829834,0.578683,2.145004,-0.070675,-0.280048,1.015243,-0.580265,-0.124013,0.351363,-0.006367,-0.302897
100085,-0.552508,-0.567626,-1.984570,-0.563577,-1.186812,-0.272075,0.852315,-0.983322,-0.294088,0.860320,0.735025,-0.463574,-0.909225,0.798663,1.255061,0.441592,1.153704,-0.065479,0.342787,-0.638943,-0.877332,0.003504,-2.323891,-0.750477,1.245985
100086,-2.178242,0.617583,-0.247946,-1.324519,0.964044,-1.553664,0.009666,0.863877,1.468263,0.631317,0.146171,-3.116484,-0.456567,0.063752,0.171555,0.108592,-0.601908,-0.417615,0.713584,1.162673,-0.031734,-0.610941,0.642659,-0.002674,-0.530898
100087,-1.025254,-0.205488,0.095452,0.828445,0.766989,-0.721959,-0.108268,0.600548,1.230369,-1.780965,-0.490070,0.218939,-0.022018,-0.826578,-0.012986,1.272510,-0.370893,-0.547298,0.413382,-1.561082,0.545287,-0.651537,-0.807521,-0.987938,-2.168013
100088,-0.983738,-0.398320,1.195683,-0.622001,-0.060272,-0.735809,-1.189162,-0.204360,-0.059788,-0.788292,0.023378,0.624541,0.002055,-0.068906,0.823740,-1.241623,-0.554284,-0.391597,0.595386,0.403055,-0.260916,-0.380985,-0.895526,0.504231,0.113896
100089,0.131464,1.262065,-0.466685,-0.310694,-0.793732,-0.633775,0.347358,-1.357647,1.512596,1.170343,1.690711,0.674231,0.835729,1.606398,-1.937258,1.472400,0.730127,0.989344,1.148448,0.251944,-1.097783,-0.849368,-0.502499,-1.406615,-1.178651
100090,-0.153413,0.052101,0.850911,1.306247,0.072334,-0.478208,1.205181,-0.291836,0.597475,0.426942,0.412680,-1.597245,-0.681760,0.692809,-0.849554,-1.289203,-0.487772,0.311164,-0.135709,-0.463779,0.269249,-0.499251,0.286851,-0.916290,-0.897514
100091,0.013534,-2.130568,0.030931,0.433624,1.070215,0.309305,0.063737,0.885083,-0.277089,-0.064167,0.994940,0.018552,-0.975991,0.706005,-0.518864,0.600381,-0.404385,0.063236,-1.674362,-2.319770,1.368759,0.142499,0.826535,-0.438078,1.292704
100092,0.409771,-0.519767,-0.725265,-1.302561,-0.110959,-0.709516,1.284284,-0.038609,0.684525,0.178993,0.081174,-1.017451,-1.791395,0.961212,-0.618407,-0.747790,1.329414,-0.359511,0.324675,0.093731,1.016482,1.060651,-1.040244,-0.442481,-0.054515
100093,-0.170608,-0.487034,0.347582,-0.894939,0.998056,-0.149953,-0.381909,0.822667,0.702259,0.398298,1.737812,-0.431898,0.384437,-0.199099,0.651827,0.083841,1.089243,1.096847,1.419830,0.253192,-1.647455,-0.903946,0.954701,-0.193817,-0.748796
100094,-0.995116,1.759988,-0.389496,0.967537,0.072307,-0.926986,-0.343483,0.435669,-0.000757,0.691883,-0.126938,0.344539,-1.463066,0.459441,-0.102063,1.824133,-1.097976,0.157156,0.257764,-1.091249,0.641872,-1.066376,0.363818,-0.719107,-2.590775
100095,0.853118,1.009554,0.379534,-1.463720,0.113143,-0.328543,-0.752385,0.498096,1.505699,-0.599105,0.074092,1.156022,-1.163566,-0.775610,-1.074496,-0.231962,2.426299,1.208178,-0.695716,1.087503,-1.255975,-0.009108,0.258111,-0.779211,0.951901
100096,-1.439257,-1.047785,-0.276757,-0.038539,0.761195,-0.481170,0.055824,0.707803,-0.026457,-1.423576,-1.321807,0.261021,-0.609836,-1.138493,0.958914,0.096077,0.365878,0.288207,1.318593,0.107694,2.116784,-0.428335,1.134786,-0.538311,-0.247095
100097,-1.215776,-0.822029,-0.583354,0.163176,0.643917,-0.565918,0.380039,0.513277,-1.476150,-0.251807,-0.147248,-0.465992,2.472074,-2.108043,-0.692322,-0.346984,-2.470216,-0.047691,0.201134,0.879264,-0.747167,2.102283,2.269318,-1.461960,-0.540584
100098,-2.154373,0.168151,-0.930757,-0.771799,1.192266,-2.118555,0.828760,0.632688,-0.238938,-0.296532,-0.728635,0.097552,0.476557,0.077739,1.141434,-1.056044,0.467707,-0.149997,-0.952871,-0.300369,0.600653,-0.188728,0.019801,-0.842316,-1.431439
